,task_type,number_of_peoples,estimated_time_in_minutes
1532,3,6,252
1533,1,2,817
1534,1,2,7291
1535,4,9,5664
1536,4,9,6931
1537,4,3,12781
1538,4,10,831
1539,2,9,490
1540,3,7,521
1541,4,6,2530
1542,4,6,1112
1543,3,1,2254
1544,3,4,507
1545,2,10,1650
1546,1,1,14006
1547,1,4,3119
1548,3,10,3103
1549,1,8,1392
1550,3,8,600
1551,1,4,1088
1552,2,2,11164
1553,3,10,3003
1554,2,6,4989
1555,4,8,6417
1556,2,8,1698
1557,3,7,745
1558,2,7,2272
1559,1,4,2675
1560,3,6,165
1561,1,5,1324
1562,3,2,4310
1563,1,4,5973
1564,3,4,1865
1565,3,4,2886
1566,3,7,5353
1567,3,4,260
1568,2,8,800
1569,3,2,22127
1570,4,1,87250
1571,2,4,3150
1572,4,7,7907
1573,4,7,10991
1574,2,2,3693
1575,1,10,878
1576,4,1,22500
1577,3,1,48198
1578,2,8,2533
1579,1,10,1564
1580,4,10,6576
1581,1,6,2521
1582,3,7,1909
1583,1,9,1620
1584,2,2,3513
1585,3,7,4320
1586,1,7,378
1587,1,1,4808
1588,1,7,911
1589,3,5,576
1590,3,9,113
1591,2,7,1925
1592,2,9,2081
1593,3,3,10628
1594,1,10,1569
1595,4,8,9751
1596,3,2,4277
1597,2,7,757
1598,4,7,2844
1599,1,4,3743
1600,1,10,1445
1601,1,6,3168
1602,2,9,3546
1603,2,2,11657
1604,3,4,3214
1605,4,1,73932
1606,3,3,1279
1607,2,5,1067
1608,2,3,367
1609,1,4,1688
1610,4,3,5591
1611,2,2,12882
1612,1,10,375
1613,2,9,1661
1614,4,7,14673
1615,1,8,1531
1616,4,10,4378
1617,4,3,21546
1618,3,9,2336
1619,4,8,7482
1620,3,3,541
1621,1,1,19546
1622,1,2,6841
1623,2,5,4670
1624,2,7,2002
1625,3,4,6480
1626,4,5,3865
1627,1,5,466
1628,4,1,46238
1629,3,5,4619
1630,2,4,1298
1631,1,10,1773
1632,1,7,2489
1633,1,6,286
1634,3,1,40979
1635,1,6,2160
1636,2,9,3015
1637,1,6,3998
1638,2,6,3028
1639,4,1,12684
1640,4,7,11143
1641,1,7,2287
1642,3,1,3186
1643,1,1,12948
1644,1,6,2322
1645,2,2,6781
1646,2,4,717
1647,2,2,3614
1648,4,5,2193
1649,2,7,2833
1650,4,10,3018
1651,4,2,15136
1652,4,9,181
1653,2,8,2658
1654,3,2,7667
1655,2,2,11258
1656,4,9,1059
1657,1,9,1138
1658,2,6,421
1659,3,4,8404
1660,4,5,3418
1661,2,5,3111
1662,1,4,1971
1663,3,8,2904
1664,3,5,2115
1665,4,3,25213
1666,1,8,174
1667,2,2,5127
1668,3,9,3508
1669,2,8,1412
1670,2,1,1745
1671,2,8,2063
1672,4,2,11568
1673,3,1,27835
1674,1,1,4891
1675,4,10,3438
1676,2,6,3959
1677,3,9,2555
1678,2,6,5204
1679,4,1,192
1680,3,4,3223
1681,1,10,1873
1682,4,6,8491
1683,4,6,8162
1684,2,9,391
1685,3,7,1359
1686,1,5,3055
1687,1,8,806
1688,3,5,7945
1689,1,10,2153
1690,2,7,4263
1691,3,2,19325
1692,2,9,2164
1693,3,5,1946
1694,4,8,4918
1695,1,9,494
1696,1,8,832
1697,4,6,4172
1698,2,10,997
1699,1,2,1190
1700,2,2,5743
1701,2,5,4983
1702,3,2,14219
1703,2,8,521
1704,4,10,6112
1705,3,2,4006
1706,1,10,552
1707,1,5,4267
1708,4,8,4894
1709,2,4,104
1710,1,5,260
1711,1,10,426
1712,2,10,1992
1713,2,10,1703
1714,1,1,11572
1715,1,7,787
1716,4,8,10290
1717,1,7,509
1718,3,1,10053
1719,3,10,3208
1720,2,8,1150
1721,1,4,1369
1722,4,4,13600
1723,2,7,3915
1724,1,6,1501
1725,4,5,1348
1726,1,5,2934
1727,2,6,837
1728,2,3,412
1729,1,3,6533
1730,1,4,2970
1731,3,9,621
1732,4,10,3513
1733,1,9,940
1734,1,4,4218
1735,2,9,929
1736,4,10,2367
1737,2,1,1503
1738,2,7,175
1739,1,2,8782
1740,1,1,13970
1741,1,1,11842
1742,2,9,3697
1743,3,5,10511
1744,4,6,10753
1745,4,1,74048
1746,2,4,5597
1747,1,7,2640
1748,1,1,968
1749,2,6,505
1750,4,3,6795
1751,1,10,1281
1752,4,6,7326
1753,3,3,572
1754,4,10,4300
1755,2,5,1428
1756,1,9,3074
1757,3,3,1791
1758,1,6,441
1759,3,5,6130
1760,4,7,1354
1761,2,9,319
1762,4,5,17055
1763,1,2,2706
1764,3,1,12676
1765,4,10,623
1766,4,1,3990
1767,4,2,33595
1768,3,10,3150
1769,4,3,7736
1770,4,5,1453
1771,4,5,9253
1772,2,2,986
1773,4,8,12508
1774,4,8,2907
1775,1,2,3501
1776,1,9,1304
1777,4,3,901
1778,1,9,265
1779,1,9,2007
1780,2,7,1264
1781,4,3,27912
1782,1,7,1105
1783,4,9,7616
1784,4,2,30790
1785,1,3,6719
1786,1,10,1191
1787,4,9,8519
1788,4,2,26146
1789,2,1,7002
1790,3,5,4971
1791,2,1,5099
1792,3,1,20500
1793,3,6,1849
1794,4,4,3347
1795,3,8,439
1796,1,5,472
1797,3,10,3894
1798,4,4,5253
1799,3,9,2994
1800,2,4,4406
1801,4,5,4780
1802,4,8,9401
1803,4,4,8331
1804,1,6,3724
1805,2,10,833
1806,4,5,12186
1807,3,3,7597
1808,2,2,8548
1809,3,1,2650
1810,3,7,710
1811,4,8,2075
1812,2,4,76
1813,2,4,2350
1814,4,9,963
1815,3,5,1075
1816,4,8,6591
1817,3,5,914
1818,4,4,9471
1819,4,3,17293
1820,2,3,6763
1821,4,1,57359
1822,2,9,204
1823,4,6,10698
1824,3,8,2010
1825,4,2,21776
1826,4,6,1949
1827,2,3,5274
1828,2,9,2064
1829,3,5,2037
1830,3,10,3430
1831,2,1,2039
1832,2,3,2435
1833,3,10,2913
1834,2,8,2120
1835,3,3,1596
1836,2,9,760
1837,1,9,589
1838,4,10,2369
1839,2,8,251
1840,1,4,2468
1841,4,7,6837
1842,4,3,24992
1843,4,3,19165
1844,4,10,3795
1845,1,4,4092
1846,2,2,9310
1847,2,3,321
1848,1,4,210
1849,1,1,4031
1850,3,8,658
1851,2,8,528
1852,4,5,10701
1853,3,4,9378
1854,3,1,40766
1855,1,8,797
1856,2,3,8569
1857,2,9,1282
1858,3,1,44257
1859,1,7,2367
1860,4,7,1305
1861,4,7,1789
1862,2,9,368
1863,1,7,1023
1864,1,4,1521
1865,4,8,5207
1866,3,7,480
1867,2,8,289
1868,2,7,1285
1869,3,8,689
1870,2,4,1245
1871,3,6,3941
1872,3,4,843
1873,3,8,4591
1874,3,3,3086
1875,2,6,2807
1876,3,3,2414
1877,3,10,2453
1878,3,5,1979
1879,4,5,13795
1880,4,8,268
1881,3,2,22361
1882,3,4,7369
1883,1,3,6226
1884,1,4,473
1885,3,4,8671
1886,1,7,597
1887,4,10,9321
1888,2,5,1103
1889,1,7,636
1890,2,1,486
1891,3,2,1941
1892,1,8,954
1893,1,8,1231
1894,3,5,2064
1895,2,5,1431
1896,1,8,678
1897,3,8,1367
1898,2,3,1280
1899,4,9,5395
1900,2,3,1376
1901,2,6,449
1902,3,3,10065
1903,4,1,52272
1904,2,2,2000
1905,2,4,623
1906,4,9,7067
1907,4,4,18682
1908,1,1,14877
1909,2,2,5128
1910,3,2,1060
1911,3,2,2341
1912,3,3,1477
1913,2,5,2741
1914,2,2,938
1915,3,9,3061
1916,1,1,6822
1917,3,5,1177
1918,2,8,1986
1919,1,6,2259
1920,2,9,1456
1921,3,3,15537
1922,3,4,7804
1923,2,4,1424
1924,4,9,4626
1925,3,10,1965
1926,2,9,2506
1927,1,2,5788
1928,3,4,3135
1929,1,1,6241
1930,4,6,6295
1931,2,10,260
1932,3,2,7229
1933,4,1,10669
1934,1,6,176
1935,4,9,959
1936,3,4,3689
1937,1,8,2489
1938,3,6,4800
1939,3,2,15731
1940,1,3,1909
1941,4,1,6569
1942,3,10,3060
1943,3,9,2396
1944,3,5,5686
1945,1,10,1563
1946,2,2,15389
1947,4,9,5604
1948,1,6,496
1949,4,10,132
1950,1,2,7550
1951,3,4,2828
1952,4,4,2558
1953,2,5,2484
1954,4,6,12246
1955,1,1,15661
1956,1,3,2197
1957,4,10,1275
1958,1,5,1346
1959,4,3,7092
1960,3,5,5172
1961,2,2,5548
1962,2,5,2101
1963,2,1,3205
1964,3,3,7020
1965,1,10,325
1966,3,7,3936
1967,3,3,2371
1968,1,6,1408
1969,2,9,778
1970,3,1,4371
1971,3,2,24408
1972,1,9,175
1973,2,10,1747
1974,3,6,3377
1975,1,1,20882
1976,1,6,2179
1977,2,1,2263
1978,4,3,8324
1979,4,4,1337
1980,3,2,3251
1981,2,8,2775
1982,3,8,4376
1983,1,9,236
1984,4,5,2189
1985,2,5,5625
1986,1,2,1371
1987,4,3,8766
1988,3,4,11204
1989,3,8,3417
1990,1,10,1126
1991,3,5,238
1992,2,7,2668
1993,1,7,2152
1994,4,6,10620
1995,3,5,5358
1996,4,2,7681
1997,4,5,1803
1998,4,1,68540
1999,2,6,1859
2000,3,3,3053
2001,4,5,764
2002,3,10,471
2003,4,9,1045
2004,1,5,1024
2005,2,3,3019
2006,3,4,2992
2007,1,6,269
2008,4,10,166
2009,2,7,557
2010,1,8,856
2011,4,7,13075
2012,3,9,189
2013,4,8,3573
2014,4,3,25825
2015,2,2,6417
2016,4,3,10012
2017,2,6,679
2018,4,4,1054
2019,3,6,1690
2020,4,5,2549
2021,2,3,2100
2022,4,10,6013
2023,3,6,874
2024,1,8,976
2025,3,2,13029
2026,4,6,15017
2027,2,6,620
2028,4,2,46292
2029,3,2,1400
2030,2,4,422
2031,4,10,5106
2032,4,10,1917
2033,4,1,22979
2034,2,10,1551
2035,2,9,1831
2036,2,10,2299
2037,3,7,1530
2038,2,6,2972
2039,3,10,2928
2040,4,4,12077
2041,1,8,253
2042,3,2,827
2043,3,1,8885
2044,2,3,7299
2045,4,6,13493
2046,3,10,1441
2047,4,5,5493
2048,1,10,666
2049,4,3,33072
2050,2,2,13125
2051,3,5,548
2052,2,6,1465
2053,4,8,6677
2054,2,3,10275
2055,1,4,3973
2056,1,6,315
2057,3,6,2334
2058,3,10,1091
2059,1,10,578
2060,4,3,7086
2061,2,7,357
2062,1,7,426
2063,1,3,1419
2064,3,3,3476
2065,4,8,6386
2066,1,10,862
2067,4,2,7278
2068,2,1,2605
2069,2,2,8932
2070,4,9,2522
2071,4,8,2992
2072,3,7,1848
2073,1,10,394
2074,1,10,2290
2075,4,7,2375
2076,2,9,138
2077,3,6,3931
2078,2,3,1148
2079,3,10,1429
2080,1,6,2977
2081,2,7,1044
2082,3,8,470
2083,1,9,2544
2084,2,7,328
2085,4,6,9857
2086,1,1,514
2087,3,5,2416
2088,2,7,257
2089,2,6,3021
2090,3,4,2886
2091,3,3,16970
2092,2,8,221
2093,2,1,877
2094,4,4,3189
2095,3,10,3619
2096,1,1,17287
2097,3,2,5146
2098,1,5,1295
2099,2,1,26482
2100,1,10,491
2101,2,2,3156
2102,3,2,12709
2103,1,4,4866
2104,1,8,201
2105,2,2,11922
2106,3,7,1961
2107,1,9,2065
2108,4,7,7194
2109,4,3,3101
2110,3,2,1909
2111,2,9,951
2112,2,5,1440
2113,2,9,1822
2114,4,7,5582
2115,3,6,6075
2116,2,2,15005
2117,3,4,2698
2118,4,8,6090
2119,3,8,1572
2120,3,1,4452
2121,2,4,973
2122,3,2,4743
2123,1,6,1068
2124,4,4,953
2125,1,2,3239
2126,1,1,7673
2127,2,9,839
2128,1,4,1567
2129,1,3,4578
2130,2,7,2017
2131,3,5,596
2132,2,10,986
2133,2,3,8976
2134,3,4,7326
2135,2,9,2147
2136,3,7,895
2137,4,2,34820
2138,2,2,15925
2139,2,5,1131
2140,3,1,8491
2141,1,3,1578
2142,3,6,5335
2143,1,7,957
2144,4,5,4826
2145,4,2,22718
2146,1,7,522
2147,1,10,521
2148,4,8,2950
2149,2,6,1396
2150,4,9,10350
2151,1,2,6668
2152,1,5,3141
2153,1,2,3294
2154,2,2,530
2155,2,5,1712
2156,3,2,10451
2157,4,1,101105
2158,4,6,1087
2159,2,10,2945
2160,4,1,66437
2161,3,5,1805
2162,4,10,7526
2163,4,10,740
2164,3,9,404
2165,1,1,14163
2166,3,10,1788
2167,1,10,665
2168,4,3,426
2169,4,1,44814
2170,4,2,3330
2171,4,5,15951
2172,2,7,903
2173,2,10,1151
2174,2,7,620
2175,4,6,8656
2176,3,9,372
2177,4,7,10580
2178,4,9,1056
2179,1,4,3476
2180,4,4,1804
2181,2,5,819
2182,1,1,7163
2183,1,1,203
2184,1,3,2332
2185,3,8,6718
2186,2,4,4142
2187,3,3,13756
2188,4,9,10057
2189,2,6,2946
2190,3,7,6405
2191,2,5,795
2192,4,8,1238
2193,3,2,16677
2194,3,10,2277
2195,3,5,788
2196,1,9,1661
2197,4,2,7609
2198,2,5,3963
2199,3,5,1847
2200,3,5,5211
2201,3,2,7792
2202,3,1,24283
2203,2,5,582
2204,1,8,669
2205,3,2,19760
2206,1,8,1914
2207,4,3,5252
2208,2,7,949
2209,4,3,22108
2210,1,4,1692
2211,3,8,311
2212,3,7,1039
2213,3,5,201
2214,3,6,5950
2215,3,3,3774
2216,3,7,927
2217,3,4,866
2218,2,10,1555
2219,2,10,177
2220,1,6,3031
2221,2,3,8425
2222,2,5,1538
2223,1,3,1790
2224,4,3,13451
2225,1,5,1160
2226,3,6,3577
2227,1,1,2695
2228,1,1,836
2229,1,3,548
2230,1,7,985
2231,1,6,3078
2232,1,1,14699
2233,2,1,19205
2234,4,5,5350
2235,2,5,1650
2236,4,10,4951
2237,3,2,13486
2238,2,2,12060
2239,4,10,6180
2240,2,6,240
2241,2,1,3804
2242,1,1,12480
2243,3,9,393
2244,3,1,15070
2245,1,9,2098
2246,1,1,8436
2247,1,6,1783
2248,3,2,13679
2249,4,7,743
2250,4,7,2973
2251,3,10,175
2252,4,3,1531
2253,1,7,3236
2254,3,6,673
2255,4,9,5449
2256,1,10,781
2257,3,5,7032
2258,1,10,391
2259,2,6,3506
2260,1,2,4331
2261,4,4,4598
2262,3,2,14568
2263,1,5,211
2264,3,10,1884
2265,3,8,2528
2266,1,10,1343
2267,3,3,1573
2268,3,2,1810
2269,1,7,563
2270,3,4,2860
2271,3,10,2983
2272,4,9,6474
2273,1,1,17331
2274,4,4,1579
2275,4,1,61339
2276,2,8,4092
2277,2,5,4190
2278,4,1,18301
2279,3,1,11085
2280,2,2,7014
2281,3,5,5187
2282,1,6,910
2283,4,10,7122
2284,2,8,255
2285,3,7,1316
2286,1,10,1536
2287,2,5,1707
2288,4,1,17651
2289,2,6,2548
2290,2,3,3024
2291,3,7,427
2292,1,8,874
2293,3,2,2510
2294,2,8,2946
2295,4,8,7415
2296,1,10,325
2297,4,8,8500
2298,2,5,512
2299,1,3,828
2300,3,6,5121
2301,4,4,526
2302,1,2,353
2303,1,2,4147
2304,3,5,5029
2305,4,4,23788
2306,1,5,2013
2307,3,2,6421
2308,2,6,1048
2309,1,9,1483
2310,2,3,6074
2311,4,8,7875
2312,2,8,549
2313,1,7,913
2314,4,4,13786
2315,1,7,2050
2316,3,4,2848
2317,2,6,923
2318,2,5,3706
2319,1,10,1793
2320,3,9,223
2321,1,5,2983
2322,2,6,1197
2323,4,1,98201
2324,3,1,4786
2325,4,6,10368
2326,4,1,68682
2327,4,5,355
2328,2,7,575
2329,3,5,447
2330,1,2,940
2331,1,5,1181
2332,3,3,15962
2333,1,9,547
2334,1,4,2314
2335,3,10,2183
2336,1,1,1711
2337,4,7,9210
2338,1,6,155
2339,2,3,7434
2340,3,9,5991
2341,4,5,18442
2342,4,2,10929
2343,1,4,866
2344,2,7,3381
2345,2,7,1725
2346,3,10,2308
2347,4,2,23622
2348,3,5,1903
2349,3,2,2322
2350,2,4,2446
2351,1,9,296
2352,2,5,3709
2353,1,7,365
2354,3,8,3192
2355,2,1,4502
2356,2,5,1451
2357,2,2,8194
2358,3,7,3025
2359,2,8,3644
2360,2,5,6380
2361,3,3,10564
2362,4,3,6328
2363,1,8,2156
2364,1,1,1729
2365,2,4,4244
2366,3,7,832
2367,3,6,3291
2368,1,8,270
2369,2,1,20288
2370,4,6,2407
2371,1,3,1478
2372,2,9,2473
2373,2,10,1907
2374,1,2,2653
2375,3,3,7368
2376,2,6,3487
2377,3,8,2865
2378,2,6,3016
2379,2,6,1055
2380,1,2,1329
2381,4,7,4052
2382,2,6,1237
2383,2,5,1034
2384,2,4,5234
2385,4,10,1933
2386,3,2,22049
2387,1,5,2861
2388,1,9,542
2389,1,6,981
2390,3,2,23917
2391,1,1,17622
2392,3,9,1612
2393,1,7,398
2394,3,8,3545
2395,2,7,435
2396,4,6,11780
2397,2,5,788
2398,3,6,4120
2399,1,9,235
2400,1,6,1296
2401,4,2,758
2402,3,2,21642
2403,2,8,2454
2404,1,7,1547
2405,3,2,3920
2406,2,2,1326
2407,3,7,422
2408,3,8,3182
2409,3,7,886
2410,4,9,3912
2411,4,8,10462
2412,1,8,979
2413,2,6,754
2414,2,2,2886
2415,1,2,2840
2416,4,5,11510
2417,4,5,2462
2418,2,7,110
2419,1,2,3110
2420,2,1,1745
2421,4,3,21394
2422,2,9,378
2423,4,1,17216
2424,3,6,2163
2425,1,4,2521
2426,2,6,1843
2427,3,6,1371
2428,2,3,3095
2429,2,4,3344
2430,3,9,393
2431,2,6,989
2432,3,9,2658
2433,4,2,1691
2434,1,1,6091
2435,1,6,815
2436,1,7,2249
2437,2,2,9957
2438,1,9,255
2439,4,3,25398
2440,4,7,11653
2441,2,6,1171
2442,3,10,141
2443,3,4,558
2444,1,2,3215
2445,2,2,9340
2446,4,8,7140
2447,2,2,3542
2448,1,10,656
2449,2,9,3074
2450,3,2,5392
2451,3,7,4411
2452,4,7,9221
2453,1,9,1441
2454,3,9,2570
2455,2,10,1399
2456,3,4,6717
2457,2,8,1655
2458,1,1,18887
2459,1,4,4016
2460,1,9,784
2461,3,5,2032
2462,1,1,2418
2463,4,10,9522
2464,3,4,1442
2465,2,7,3044
2466,1,10,1938
2467,3,4,369
2468,2,6,3191
2469,1,6,2498
2470,1,4,1445
2471,4,10,2696
2472,3,6,4824
2473,1,2,7915
2474,4,7,3969
2475,3,2,6531
2476,2,6,2910
2477,2,4,940
2478,4,8,5855
2479,1,1,6618
2480,2,1,27839
2481,4,4,19186
2482,4,5,298
2483,1,2,262
2484,4,2,8447
2485,1,10,1460
2486,3,4,2427
2487,1,7,174
2488,1,1,134
2489,2,1,19276
2490,3,5,6098
2491,1,7,1661
2492,3,4,1712
2493,2,10,609
2494,1,7,1478
2495,3,10,3710
2496,4,6,3914
2497,4,7,286
2498,4,8,11163
2499,3,1,34630
2500,1,3,216
2501,2,7,421
2502,2,5,3829
2503,4,7,7607
2504,1,1,12395
2505,4,4,17484
2506,4,9,2781
2507,1,4,3969
2508,1,3,7586
2509,4,9,2818
2510,4,3,3226
2511,2,4,3362
2512,3,3,5708
2513,1,5,3337
2514,2,4,906
2515,3,1,25953
2516,2,8,1361
2517,2,8,1286
2518,4,2,45632
2519,3,4,7699
2520,1,4,448
2521,2,7,250
2522,1,8,1125
2523,1,1,2347
2524,2,10,2396
2525,1,3,1629
2526,4,2,27892
2527,3,6,5423
2528,4,8,1613
2529,2,7,4048
2530,3,6,2095
2531,3,10,1034
2532,3,6,149
2533,1,1,16449
2534,1,3,5252
2535,1,1,2368
2536,2,8,2685
2537,1,4,5882
2538,2,2,4143
2539,1,6,3303
2540,4,8,982
2541,3,2,11941
2542,1,4,1288
2543,2,4,7735
2544,1,5,4145
2545,2,2,9529
2546,2,10,863
2547,2,1,616
2548,1,10,117
2549,1,10,464
2550,4,9,1007
2551,2,2,1393
2552,3,3,10529
2553,2,4,1382
2554,3,5,2727
2555,2,3,6014
2556,3,1,9463
2557,2,6,2437
2558,3,7,3425
2559,3,6,4423
2560,3,6,6530
2561,2,4,6325
2562,3,9,431
2563,4,8,4976
2564,3,2,14657
2565,3,6,4934
2566,3,10,2644
2567,3,2,307
2568,1,6,2511
2569,2,3,10554
2570,2,9,1386
2571,2,9,995
2572,3,9,1371
2573,3,10,2600
2574,4,1,3814
2575,1,4,650
2576,4,3,4529
2577,3,5,4688
2578,4,8,5249
2579,2,8,2503
2580,2,2,4284
2581,2,5,2058
2582,2,5,3807
2583,4,9,652
2584,3,9,3062
2585,3,1,807
2586,4,8,1558
2587,4,7,2000
2588,2,6,4024
2589,1,2,9035
2590,2,7,3089
2591,1,10,1753
2592,3,9,2486
2593,2,5,1352
2594,4,2,12686
2595,2,4,328
2596,4,4,5537
2597,4,9,8317
2598,2,9,2120
2599,3,8,4888
2600,1,3,4125
2601,3,5,2411
2602,4,2,31554
2603,2,10,341
2604,2,6,3614
2605,2,9,1647
2606,1,1,13735
2607,3,1,39019
2608,2,10,584
2609,2,10,2178
2610,1,6,502
2611,2,8,2437
2612,1,10,975
2613,4,9,5794
2614,4,5,1585
2615,4,9,9351
2616,2,4,175
2617,4,5,3713
2618,2,10,448
2619,3,7,1348
2620,3,2,5990
2621,4,2,1056
2622,1,3,224
2623,2,8,1975
2624,4,6,8318
2625,1,2,779
2626,2,7,1379
2627,1,5,1059
2628,2,5,1766
2629,2,1,19298
2630,3,2,913
2631,4,3,18074
2632,3,1,500
2633,4,1,17681
2634,4,1,43912
2635,1,9,917
2636,4,1,7764
2637,1,8,1991
2638,2,5,2678
2639,1,9,1851
2640,4,4,7211
2641,1,3,104
2642,3,7,4650
2643,3,2,9607
2644,4,6,2867
2645,1,8,276
2646,1,2,435
2647,1,5,2537
2648,4,6,4823
2649,2,9,2501
2650,4,7,5650
2651,4,10,432
2652,2,4,766
2653,3,3,8015
2654,2,10,2125
2655,4,6,7179
2656,3,5,3904
2657,2,8,259
2658,1,3,6617
2659,3,6,1911
2660,3,4,8620
2661,3,3,11418
2662,1,10,517
2663,1,1,535
2664,4,6,7088
2665,4,5,8181
2666,4,10,5908
2667,3,9,4211
2668,2,8,123
2669,4,3,31819
2670,2,5,4595
2671,1,10,606
2672,2,4,1927
2673,1,9,892
2674,3,9,1933
2675,3,6,5891
2676,4,5,292
2677,4,7,8859
2678,1,7,1610
2679,1,7,3364
2680,2,2,7774
2681,2,1,9165
2682,4,8,4694
2683,1,2,2995
2684,1,1,1163
2685,4,1,63685
2686,2,5,525
2687,2,3,364
2688,2,10,2221
2689,3,1,10109
2690,2,10,2285
2691,4,10,7146
2692,4,9,3576
2693,3,6,2077
2694,2,5,3898
2695,1,5,4282
2696,3,7,1406
2697,2,1,6284
2698,1,8,2178
2699,4,10,4521
2700,4,4,6149
2701,1,8,2485
2702,2,1,569
2703,2,5,94
2704,3,1,2256
2705,3,8,4223
2706,4,9,5188
2707,3,2,1357
2708,2,5,2842
2709,2,10,1922
2710,4,1,22381
2711,1,9,1843
2712,1,4,3650
2713,1,2,634
2714,1,8,1665
2715,3,8,1545
2716,2,1,2313
2717,2,10,959
2718,1,3,7263
2719,3,6,4644
2720,1,7,2400
2721,2,1,19715
2722,3,7,3849
2723,2,3,6041
2724,3,4,3569
2725,1,9,183
2726,1,2,2207
2727,2,2,1461
2728,1,5,1610
2729,3,6,2118
2730,4,8,8552
2731,3,1,3505
2732,1,10,111
2733,4,8,2772
2734,3,9,1107
2735,4,6,8110
2736,1,2,1860
2737,3,1,28499
2738,1,10,1264
2739,2,10,1947
2740,4,3,8609
2741,3,2,2415
2742,1,2,7837
2743,4,5,4503
2744,2,4,350
2745,2,6,326
2746,2,3,1779
2747,1,4,4508
2748,4,6,10948
2749,3,6,2492
2750,3,10,2150
2751,3,4,2957
2752,4,4,13691
2753,4,4,3440
2754,3,4,9493
2755,1,2,336
2756,1,7,513
2757,2,4,5428
2758,1,9,1144
2759,3,8,391
2760,4,5,3103
2761,4,1,21841
2762,2,4,6205
2763,4,8,9218
2764,1,10,1616
2765,4,4,18087
2766,2,10,730
2767,4,4,5292
2768,1,8,2076
2769,1,4,1119
2770,4,1,44496
2771,2,10,787
2772,4,5,3097
2773,1,4,1688
2774,4,8,7403
2775,3,9,3957
2776,4,10,1445
2777,1,2,759
2778,3,10,369
2779,3,10,1608
2780,4,7,10409
2781,3,2,12242
2782,1,6,493
2783,4,1,44488
2784,1,6,293
2785,2,8,179
2786,4,10,954
2787,3,2,982
2788,2,5,1744
2789,2,5,4441
2790,2,5,4400
2791,4,2,9096
2792,3,3,1354
2793,3,9,3365
2794,3,10,3951
2795,2,7,4045
2796,4,8,5692
2797,1,7,269
2798,1,4,1723
2799,3,8,1330
2800,4,5,6777
2801,4,3,790
2802,1,2,8350
2803,2,5,3857
2804,1,4,230
2805,2,6,3296
2806,3,1,7203
2807,2,6,1161
2808,2,4,6079
2809,2,9,209
2810,1,8,2442
2811,3,7,3346
2812,2,2,10917
2813,4,4,5432
2814,4,5,1416
2815,4,9,2313
2816,1,8,230
2817,1,5,3197
2818,1,3,2333
2819,4,7,6608
2820,1,8,453
2821,3,3,15263
2822,4,6,742
2823,4,3,17587
2824,2,7,2577
2825,2,1,6856
2826,2,7,3837
2827,4,2,29325
2828,4,8,9523
2829,2,6,2787
2830,3,2,1761
2831,3,5,4999
2832,1,2,6949
2833,3,9,4204
2834,3,6,3569
2835,1,2,3490
2836,1,8,2158
2837,4,2,47585
2838,3,5,253
2839,3,2,5210
2840,1,7,1584
2841,1,1,1372
2842,4,3,17209
2843,3,2,1312
2844,2,1,13665
2845,1,5,3533
2846,2,5,4599
2847,4,6,8598
2848,3,9,3234
2849,1,6,3323
2850,2,2,2850
2851,1,2,8802
2852,1,7,1234
2853,3,6,4692
2854,4,8,7524
2855,1,7,771
2856,2,5,1285
2857,3,9,2495
2858,4,2,29586
2859,4,2,12155
2860,4,3,6954
2861,2,4,628
2862,4,9,5818
2863,3,7,2492
2864,2,6,1020
2865,1,7,2443
2866,2,6,1446
2867,4,9,894
2868,2,8,3290
2869,2,2,904
2870,4,10,5013
2871,4,10,637
2872,3,5,4595
2873,2,2,3293
2874,3,4,10585
2875,4,5,13103
2876,1,5,3360
2877,1,10,228
2878,2,7,1487
2879,3,4,5045
2880,3,10,624
2881,1,10,578
2882,2,3,798
2883,4,2,27765
2884,4,9,6615
2885,4,4,1823
2886,2,6,4423
2887,2,3,2363
2888,2,9,2390
2889,2,2,3893
2890,3,2,16118
2891,2,3,4305
2892,4,4,984
2893,3,10,526
2894,3,1,12140
2895,3,10,602
2896,2,10,675
2897,4,1,24320
2898,3,4,6648
2899,2,6,999
2900,3,8,1852
2901,2,10,2937
2902,2,6,2715
2903,3,7,250
2904,1,4,508
2905,1,4,4738
2906,2,2,7628
2907,3,1,42466
2908,3,8,3546
2909,4,4,13834
2910,4,8,8849
2911,1,10,1993
2912,1,1,10705
2913,3,1,29502
2914,3,10,1253
2915,4,6,6525
2916,1,2,7712
2917,2,7,3560
2918,4,7,8290
2919,3,2,3319
2920,2,2,3325
2921,1,8,1532
2922,1,3,5168
2923,4,2,2277
2924,4,2,1557
2925,4,7,9981
2926,2,5,507
2927,1,3,3992
2928,3,3,1672
2929,4,3,23614
2930,4,6,2706
2931,4,3,2687
2932,1,7,2154
2933,3,4,10292
2934,1,7,126
2935,1,4,3306
2936,1,6,858
2937,2,5,3446
2938,4,4,12371
2939,1,2,9276
2940,4,10,164
2941,4,7,7413
2942,3,2,4252
2943,4,6,3448
2944,4,2,24070
2945,3,8,5997
2946,4,6,3219
2947,2,5,1081
2948,3,4,10964
2949,4,6,17034
2950,3,4,6512
2951,1,3,1978
2952,1,6,553
2953,4,10,2321
2954,4,8,2381
2955,4,1,54189
2956,3,1,764
2957,2,8,672
2958,2,8,1436
2959,4,3,2298
2960,1,2,6258
